Component,Value,Quantity,Footprint,LCSC Part #,Link,Unit Cost (USD),Total Cost (USD)
"C1-C8, C11, C12, C17",0.1µF,11,0402,C1525,https://www.lcsc.com/product-detail/C1525.html?s_z=n_q_C1525&globalKeyword=C1525,0.0055,0.0605
"C9, C10",1µF,2,0402,C52923,https://www.lcsc.com/product-detail/C52923.html?s_z=n_q_C52923&globalKeyword=C52923,0.0063,0.0126
"C13, C14",10µF,2,0603,C19702,https://www.lcsc.com/product-detail/C19702.html?s_z=n_q_C19702&globalKeyword=C19702,0.0180,0.0360
"C15, C16",33pF,2,0402,C1562,https://www.lcsc.com/product-detail/C1562.html?s_z=n_q_C1562&globalKeyword=C1562,0.0050,0.0100
"GPIO2, GPIO3",LED,2,0805,C2297,https://www.lcsc.com/product-detail/C2297.html?s_z=n_q_C2297&globalKeyword=C2297,0.0450,0.0900
"GPIO4, GPIO5, RUN1, SW1",SW_Push,4,Alps SKRK,C720477,https://www.lcsc.com/product-detail/C720477.html?s_z=n_q_C720477&globalKeyword=C720477,0.1200,0.4800
J1,USB-C Receptacle,1,HRO TYPE-C-31-M-12,C165948,https://www.lcsc.com/product-detail/C165948.html?s_z=n_q_C165948&globalKeyword=C165948,0.3500,0.3500
J2,GPIO Bank B,1,1x11 Pin Socket,C124407,https://www.lcsc.com/product-detail/C124407.html?s_z=n_q_C124407&globalKeyword=C124407,0.0800,0.0800
J4,GPIO Bank A,1,1x18 Pin Socket,C124410,https://www.lcsc.com/product-detail/C124410.html?s_z=n_q_C124410&globalKeyword=C124410,0.1200,0.1200
J5,Debug,1,1x3 Pin Socket,C49257,https://www.lcsc.com/product-detail/C49257.html?s_z=n_q_C49257&globalKeyword=C49257,0.0300,0.0300
J6,Power,1,1x5 Pin Socket,C124414,https://www.lcsc.com/product-detail/C124414.html?s_z=n_q_C124414&globalKeyword=C124414,0.0450,0.0450
J8,GND Line,1,1x10 Pin Socket,C124407,https://www.lcsc.com/product-detail/C124407.html?s_z=n_q_C124407&globalKeyword=C124407,0.0800,0.0800
J9,3V3 Line,1,1x10 Pin Socket,C124407,https://www.lcsc.com/product-detail/C124407.html?s_z=n_q_C124407&globalKeyword=C124407,0.0800,0.0800
J11,5V Line,1,1x10 Pin Socket,C124407,https://www.lcsc.com/product-detail/C124407.html?s_z=n_q_C124407&globalKeyword=C124407,0.0800,0.0800
"R1, R2",5.1K,2,0402,C25905,https://www.lcsc.com/product-detail/C25905.html?s_z=n_q_C25905&globalKeyword=C25905,0.0030,0.0060
"R9, R10",220Ω,2,0402,C25091,https://www.lcsc.com/product-detail/C25091.html?s_z=n_q_C25091&globalKeyword=C25091,0.0030,0.0060
"R3, R4",22Ω,2,0402,C25092,https://www.lcsc.com/product-detail/C25092.html?s_z=n_q_C25092&globalKeyword=C25092,0.0030,0.0060
"R5, R7",1K,2,0402,C11702,https://www.lcsc.com/product-detail/C11702.html?s_z=n_q_C11702&globalKeyword=C11702,0.0030,0.0060
"R6, R8, R11",10K,3,0805,C17414,https://www.lcsc.com/product-detail/C17414.html?s_z=n_q_C17414&globalKeyword=C17414,0.0080,0.0240
U1,RP2040,1,QFN-56,C2040,https://www.lcsc.com/product-detail/C2040.html?s_z=n_q_C2040&globalKeyword=C2040,1.5000,1.5000
U2,MCP1700x-330,1,SOT-23,C5446,https://www.lcsc.com/product-detail/C5446.html?s_z=n_q_C5446&globalKeyword=C5446,0.0250,0.0250
U3,W25Q128JVS,1,SOIC-8,C97521,https://www.lcsc.com/product-detail/C97521.html?s_z=n_q_C97521&globalKeyword=C97521,0.4500,0.4500
Y2,12MHz Crystal,1,3225 4-Pin,C9002,https://www.lcsc.com/product-detail/C9002.html?s_z=n_q_C9002&globalKeyword=C9002,0.1200,0.1200
